"","YEAR","MONTH","CARRIER","EMPTOTAL","X"
"1",2007,1,"09Q",128,NA
"2",2007,1,"16",1512,NA
"3",2007,1,"3Z",289,NA
"4",2007,1,"5X",6205,NA
"5",2007,1,"5Y",1153,NA
"6",2007,1,"8C",453,NA
"7",2007,1,"9E",3912,NA
"8",2007,1,"9S",305,NA
"9",2007,1,"AA",77866,NA
"10",2007,1,"ABX",11277,NA
"11",2007,1,"AJQ",264,NA
"12",2007,1,"AMQ",43,NA
"13",2007,1,"AQ",3540,NA
"14",2007,1,"AS",9882,NA
"15",2007,1,"AX",1301,NA
"16",2007,1,"B6",10698,NA
"17",2007,1,"BNQ",4,NA
"18",2007,1,"CO",38341,NA
"19",2007,1,"CS",1334,NA
"20",2007,1,"CTQ",12,NA
"21",2007,1,"CZQ",15,NA
"22",2007,1,"DL",46732,NA
"23",2007,1,"E0",239,NA
"24",2007,1,"E9",154,NA
"25",2007,1,"ER",998,NA
"26",2007,1,"EV",5911,NA
"27",2007,1,"EZ",528,NA
"28",2007,1,"F2",183,NA
"29",2007,1,"F9",5012,NA
"30",2007,1,"FE",90,NA
"31",2007,1,"FL",7671,NA
"32",2007,1,"FX",136782,NA
"33",2007,1,"G4",1008,NA
"34",2007,1,"G7",322,NA
"35",2007,1,"GFQ",63,NA
"36",2007,1,"GG",110,NA
"37",2007,1,"GL",418,NA
"38",2007,1,"GR",400,NA
"39",2007,1,"HA",3585,NA
"40",2007,1,"HP",13958,NA
"41",2007,1,"JW",558,NA
"42",2007,1,"KAQ",820,NA
"43",2007,1,"KLQ",41,NA
"44",2007,1,"KR",186,NA
"45",2007,1,"L2",155,NA
"46",2007,1,"M6",626,NA
"47",2007,1,"MG",713,NA
"48",2007,1,"MQ",9984,NA
"49",2007,1,"MRQ",98,NA
"50",2007,1,"MY",330,NA
"51",2007,1,NA,717,NA
"52",2007,1,"NC",250,NA
"53",2007,1,"NK",2195,NA
"54",2007,1,"NW",30288,NA
"55",2007,1,"OH",6513,NA
"56",2007,1,"OO",9858,NA
"57",2007,1,"OW",1909,NA
"58",2007,1,"PCQ",413,NA
"59",2007,1,"PFQ",42,NA
"60",2007,1,"PO",615,NA
"61",2007,1,"PRQ",75,NA
"62",2007,1,"PT",193,NA
"63",2007,1,"QX",3976,NA
"64",2007,1,"RD",628,NA
"65",2007,1,"RW",687,NA
"66",2007,1,"S5",1074,NA
"67",2007,1,"SI",25,NA
"68",2007,1,"SLQ",98,NA
"69",2007,1,"SY",1030,NA
"70",2007,1,"TZ",2488,NA
"71",2007,1,"U5",655,NA
"72",2007,1,"U7",335,NA
"73",2007,1,"UA",54873,NA
"74",2007,1,"US",21122,NA
"75",2007,1,"VCQ",0,NA
"76",2007,1,"WE",185,NA
"77",2007,1,"WI",203,NA
"78",2007,1,"WN",32725,NA
"79",2007,1,"WO",1337,NA
"80",2007,1,"X9",959,NA
"81",2007,1,"XE",7313,NA
"82",2007,1,"XJ",3102,NA
"83",2007,1,"XP",205,NA
"84",2007,1,"YV",3261,NA
"85",2007,1,"YX",2347,NA
"86",2007,1,"ZQ",210,NA
"87",2007,1,"ZW",2493,NA
"88",2007,2,"09Q",129,NA
"89",2007,2,"16",1527,NA
"90",2007,2,"3Z",282,NA
"91",2007,2,"5X",6196,NA
"92",2007,2,"5Y",1150,NA
"93",2007,2,"8C",444,NA
"94",2007,2,"9E",3923,NA
"95",2007,2,"9S",303,NA
"96",2007,2,"AA",77648,NA
"97",2007,2,"ABX",11154,NA
"98",2007,2,"AJQ",269,NA
"99",2007,2,"AMQ",43,NA
"100",2007,2,"AQ",3407,NA
"101",2007,2,"AS",9872,NA
"102",2007,2,"AX",1305,NA
"103",2007,2,"B6",10605,NA
"104",2007,2,"BNQ",4,NA
"105",2007,2,"CO",38490,NA
"106",2007,2,"CS",1336,NA
"107",2007,2,"CTQ",12,NA
"108",2007,2,"CZQ",15,NA
"109",2007,2,"DL",47204,NA
"110",2007,2,"E0",248,NA
"111",2007,2,"E9",148,NA
"112",2007,2,"ER",989,NA
"113",2007,2,"EV",6185,NA
"114",2007,2,"EZ",513,NA
"115",2007,2,"F2",183,NA
"116",2007,2,"F9",5078,NA
"117",2007,2,"FE",90,NA
"118",2007,2,"FL",8598,NA
"119",2007,2,"FX",136345,NA
"120",2007,2,"G4",1039,NA
"121",2007,2,"G7",337,NA
"122",2007,2,"GFQ",62,NA
"123",2007,2,"GG",110,NA
"124",2007,2,"GL",403,NA
"125",2007,2,"GR",398,NA
"126",2007,2,"HA",3593,NA
"127",2007,2,"HP",13945,NA
"128",2007,2,"JW",515,NA
"129",2007,2,"KAQ",828,NA
"130",2007,2,"KLQ",41,NA
"131",2007,2,"L2",157,NA
"132",2007,2,"M6",537,NA
"133",2007,2,"MG",705,NA
"134",2007,2,"MQ",10027,NA
"135",2007,2,"MRQ",95,NA
"136",2007,2,"MY",342,NA
"137",2007,2,NA,738,NA
"138",2007,2,"NC",242,NA
"139",2007,2,"NK",2280,NA
"140",2007,2,"NW",30306,NA
"141",2007,2,"OH",6502,NA
"142",2007,2,"OO",9974,NA
"143",2007,2,"OW",1884,NA
"144",2007,2,"PCQ",406,NA
"145",2007,2,"PO",569,NA
"146",2007,2,"PRQ",75,NA
"147",2007,2,"PT",192,NA
"148",2007,2,"QX",3967,NA
"149",2007,2,"RD",602,NA
"150",2007,2,"RW",795,NA
"151",2007,2,"S5",1020,NA
"152",2007,2,"SI",25,NA
"153",2007,2,"SLQ",100,NA
"154",2007,2,"SY",1039,NA
"155",2007,2,"TZ",2481,NA
"156",2007,2,"U5",632,NA
"157",2007,2,"U7",346,NA
"158",2007,2,"UA",54754,NA
"159",2007,2,"US",21131,NA
"160",2007,2,"VCQ",0,NA
"161",2007,2,"WE",185,NA
"162",2007,2,"WI",204,NA
"163",2007,2,"WN",33064,NA
"164",2007,2,"WO",1329,NA
"165",2007,2,"X9",975,NA
"166",2007,2,"XE",7634,NA
"167",2007,2,"XJ",3196,NA
"168",2007,2,"XP",205,NA
"169",2007,2,"YV",3275,NA
"170",2007,2,"YX",2349,NA
"171",2007,2,"ZW",2449,NA
"172",2007,3,"09Q",128,NA
"173",2007,3,"16",1514,NA
"174",2007,3,"3Z",282,NA
"175",2007,3,"5X",6505,NA
"176",2007,3,"5Y",1129,NA
"177",2007,3,"8C",426,NA
"178",2007,3,"9E",3940,NA
"179",2007,3,"9S",298,NA
"180",2007,3,"AA",78548,NA
"181",2007,3,"ABX",11309,NA
"182",2007,3,"AJQ",261,NA
"183",2007,3,"AMQ",42,NA
"184",2007,3,"AQ",3404,NA
"185",2007,3,"AS",10001,NA
"186",2007,3,"AX",1314,NA
"187",2007,3,"B6",10686,NA
"188",2007,3,"BNQ",4,NA
"189",2007,3,"CO",38702,NA
"190",2007,3,"CS",1334,NA
"191",2007,3,"CTQ",12,NA
"192",2007,3,"CZQ",18,NA
"193",2007,3,"DL",47859,NA
"194",2007,3,"E0",265,NA
"195",2007,3,"E9",147,NA
"196",2007,3,"ER",993,NA
"197",2007,3,"EV",5832,NA
"198",2007,3,"EZ",513,NA
"199",2007,3,"F2",177,NA
