"","YEAR","MONTH","DAY_OF_MONTH","CARRIER","ORIGIN","DEST","DEP_DELAY","ARR_DELAY","DISTANCE","X"
"1",2007,6,21,"MQ","DCA","JFK",-4,-5,213,NA
"2",2007,6,9,"NW","SEA","MSP",-4,-8,1399,NA
"3",2007,6,6,"MQ","DFW","LFT",36,33,351,NA
"4",2007,6,16,"OO","DEN","ICT",-1,5,420,NA
"5",2007,6,24,"WN","LAS","OMA",3,-5,1099,NA
"6",2007,6,14,"WN","ABQ","PHX",-1,-13,328,NA
"7",2007,6,5,"FL","ATL","BWI",12,-5,576,NA
"8",2007,6,24,"MQ","SGF","DFW",30,23,364,NA
"9",2007,6,21,"US","LAX","LAS",-4,-6,236,NA
"10",2007,6,11,"AA","STL","LAS",-4,3,1372,NA
"11",2007,6,4,"MQ","CMH","ORD",21,35,296,NA
"12",2007,6,30,"YV","ORD","BHM",19,0,584,NA
"13",2007,6,7,"F9","DFW","DEN",-2,15,641,NA
"14",2007,6,19,"EV","ATL","BGR",4,-4,1134,NA
"15",2007,6,7,"US","DCA","FLL",13,19,899,NA
"16",2007,6,14,"CO","SJU","IAH",-7,24,2007,NA
"17",2007,6,25,"DL","ATL","LGA",NA,NA,761,NA
"18",2007,6,4,"F9","DEN","DFW",-4,-5,641,NA
"19",2007,6,10,"US","PHL","MIA",-4,-27,1013,NA
"20",2007,6,11,"NW","IND","DTW",-5,-6,231,NA
"21",2007,6,11,"EV","ATL","CSG",128,135,83,NA
"22",2007,6,3,"OO","LAX","SNA",18,19,36,NA
"23",2007,6,7,"9E","DTW","AUS",-1,-5,1149,NA
"24",2007,6,4,"B6","JFK","PBI",6,35,1028,NA
"25",2007,6,25,"EV","ATL","AEX",0,60,500,NA
"26",2007,6,30,"US","PHX","PHL",28,19,2075,NA
"27",2007,6,14,"OO","SFO","EUG",-5,1,451,NA
"28",2007,6,5,"AA","SNA","DFW",-7,-21,1205,NA
"29",2007,6,4,"EV","ATL","PVD",21,0,903,NA
"30",2007,6,25,"US","PBI","LAS",4,-17,2158,NA
"31",2007,6,1,"WN","OAK","PDX",14,6,543,NA
"32",2007,6,11,"XE","IAH","ORF",9,12,1201,NA
"33",2007,6,3,"XE","IAH","DAL",12,36,217,NA
"34",2007,6,23,"CO","EWR","SJU",8,-19,1608,NA
"35",2007,6,19,"XE","ORF","EWR",122,98,284,NA
"36",2007,6,26,"OH","JFK","CLE",10,8,425,NA
"37",2007,6,30,"XE","SAN","BOI",-2,-22,749,NA
"38",2007,6,18,"AQ","SAN","OGG",-3,-16,2541,NA
"39",2007,6,18,"DL","ATL","RIC",9,4,481,NA
"40",2007,6,28,"OO","BIL","ORD",0,-4,1060,NA
"41",2007,6,7,"AA","SJU","STT",5,7,68,NA
"42",2007,6,11,"DL","ATL","PHL",-1,9,665,NA
"43",2007,6,15,"OO","MFR","SFO",-11,-9,329,NA
"44",2007,6,15,"WN","MCO","MDW",50,42,989,NA
"45",2007,6,10,"UA","DEN","ABQ",-5,-11,349,NA
"46",2007,6,20,"NW","FAI","MSP",-7,-15,2466,NA
"47",2007,6,27,"FL","ATL","STL",-2,-21,483,NA
"48",2007,6,6,"EV","MSN","ATL",0,-10,707,NA
"49",2007,6,26,"UA","DEN","LAS",14,8,629,NA
"50",2007,6,2,"NW","DTW","SEA",0,-15,1927,NA
"51",2007,6,25,"FL","DAY","ATL",-2,-7,432,NA
"52",2007,6,22,"WN","BUR","PHX",-1,-2,369,NA
"53",2007,6,27,"DL","ATL","ELP",70,57,1282,NA
"54",2007,6,8,"UA","LGA","DEN",24,162,1619,NA
"55",2007,6,28,"OO","SLC","MSY",28,49,1428,NA
"56",2007,6,23,"UA","EGE","ORD",-5,5,1007,NA
"57",2007,6,8,"UA","ORD","HNL",4,-31,4244,NA
"58",2007,6,21,"US","PHX","ATL",28,41,1587,NA
"59",2007,6,30,"XE","EWR","BNA",-3,-19,748,NA
"60",2007,6,29,"AA","DFW","MCO",4,3,984,NA
"61",2007,6,10,"DL","CVG","SEA",-7,-10,1964,NA
"62",2007,6,23,"WN","SNA","SMF",5,-3,404,NA
"63",2007,6,16,"WN","MCO","BUF",0,1,1011,NA
"64",2007,6,16,"UA","IAD","LAX",-3,-33,2288,NA
"65",2007,6,9,"EV","ATL","MYR",32,29,317,NA
"66",2007,6,2,"DL","FLL","ATL",-5,8,581,NA
"67",2007,6,1,"UA","ORD","DSM",-1,29,299,NA
"68",2007,6,10,"AA","LGA","STL",-7,48,887,NA
"69",2007,6,28,"XE","TYS","IAH",-9,-29,772,NA
"70",2007,6,19,"EV","ATL","EYW",0,-5,646,NA
"71",2007,6,12,"NW","MEM","PHX",-1,7,1263,NA
"72",2007,6,6,"US","PIT","DCA",64,54,205,NA
"73",2007,6,7,"DL","ATL","ORF",-2,-3,516,NA
"74",2007,6,14,"OO","ORD","FAR",-4,-10,557,NA
"75",2007,6,22,"OO","DEN","ASE",-7,1,125,NA
"76",2007,6,13,"AA","LAX","DFW",-3,-3,1235,NA
"77",2007,6,13,"XE","PIT","EWR",70,53,319,NA
"78",2007,6,30,"CO","BOS","IAH",-7,24,1597,NA
"79",2007,6,29,"CO","TUS","EWR",12,10,2116,NA
"80",2007,6,18,"DL","SMF","ATL",-3,-11,2092,NA
"81",2007,6,5,"F9","SFO","DEN",23,20,967,NA
"82",2007,6,3,"NW","ORD","MSP",-3,2,334,NA
"83",2007,6,19,"AS","PSP","SFO",12,12,421,NA
"84",2007,6,5,"UA","PDX","SFO",-8,-14,550,NA
"85",2007,6,7,"AS","SEA","SFO",13,15,679,NA
"86",2007,6,9,"WN","SAN","OAK",0,-6,446,NA
"87",2007,6,2,"AS","SEA","ANC",-6,-18,1449,NA
"88",2007,6,18,"YV","EWR","CLT",48,41,529,NA
"89",2007,6,2,"WN","ONT","LAS",0,-1,197,NA
"90",2007,6,14,"UA","DEN","ICT",NA,NA,420,NA
"91",2007,6,4,"AA","BWI","SJU",-2,-10,1565,NA
"92",2007,6,25,"US","BOI","PHX",18,16,735,NA
"93",2007,6,28,"WN","MDW","RNO",41,24,1680,NA
"94",2007,6,14,"US","DFW","LAS",37,31,1055,NA
"95",2007,6,17,"US","CLT","LAX",-1,-16,2125,NA
"96",2007,6,13,"OO","CLD","LAX",-4,-6,86,NA
"97",2007,6,3,"NW","MSP","SAN",-3,-22,1532,NA
"98",2007,6,22,"US","CLT","IND",1,-12,428,NA
"99",2007,6,28,"YV","HDN","DEN",-14,-24,141,NA
"100",2007,6,5,"FL","BUF","ATL",-9,-15,712,NA
"101",2007,6,9,"OO","DEN","BHM",6,-1,1083,NA
"102",2007,6,6,"B6","JFK","ROC",-7,-11,264,NA
"103",2007,6,15,"OH","LGA","CVG",0,-7,585,NA
"104",2007,6,19,"CO","EWR","SNA",22,57,2433,NA
"105",2007,6,6,"NW","DTW","MSN",10,12,312,NA
"106",2007,6,28,"UA","DEN","SJC",47,48,949,NA
"107",2007,6,16,"YV","PHX","SBP",0,2,509,NA
"108",2007,6,19,"CO","IAH","DCA",0,17,1208,NA
"109",2007,6,2,"MQ","XNA","DFW",-3,-9,281,NA
"110",2007,6,23,"CO","ONT","IAH",2,-3,1334,NA
"111",2007,6,2,"NW","PHX","DTW",-5,12,1671,NA
"112",2007,6,18,"OH","HSV","DCA",0,-15,613,NA
"113",2007,6,3,"OO","MOD","SFO",27,29,78,NA
"114",2007,6,6,"WN","SAN","LAS",-4,-11,258,NA
"115",2007,6,29,"US","STL","CLT",58,59,575,NA
"116",2007,6,19,"WN","MCO","RDU",-1,6,534,NA
"117",2007,6,30,"WN","STL","CMH",23,14,410,NA
"118",2007,6,29,"AA","MCI","DFW",-4,16,460,NA
"119",2007,6,1,"OO","SGU","SLC",-2,4,269,NA
"120",2007,6,16,"9E","DTW","DSM",-3,-17,534,NA
"121",2007,6,5,"OO","SBA","LAX",-7,-4,89,NA
"122",2007,6,23,"DL","JFK","BOS",-3,32,187,NA
"123",2007,6,28,"EV","ATL","BGR",68,57,1134,NA
"124",2007,6,18,"DL","BOS","LGA",NA,NA,185,NA
"125",2007,6,2,"NW","BUF","DTW",-4,-18,240,NA
"126",2007,6,17,"US","OGG","PHX",-3,6,2845,NA
"127",2007,6,4,"UA","IND","DEN",15,16,977,NA
"128",2007,6,16,"OO","PSP","DEN",39,46,776,NA
"129",2007,6,7,"AA","DFW","BOS",0,-7,1562,NA
"130",2007,6,21,"DL","SLC","LAS",-9,2,368,NA
"131",2007,6,19,"US","PHX","ORD",17,-3,1440,NA
"132",2007,6,25,"OH","CVG","MHT",10,13,741,NA
"133",2007,6,6,"MQ","XNA","DFW",4,3,281,NA
"134",2007,6,1,"MQ","BTR","DFW",-15,-18,383,NA
"135",2007,6,23,"AA","AUS","DFW",-2,19,190,NA
"136",2007,6,1,"XE","IAH","ATL",20,10,689,NA
"137",2007,6,28,"XE","CLE","MDW",-6,-16,307,NA
"138",2007,6,5,"AS","ANC","PDX",7,13,1542,NA
"139",2007,6,10,"DL","CVG","ATL",5,1,373,NA
"140",2007,6,5,"YV","HNL","KOA",-10,-5,163,NA
"141",2007,6,26,"UA","SFO","LAX",-5,-16,337,NA
"142",2007,6,12,"AA","SJU","MIA",-1,-4,1045,NA
"143",2007,6,18,"WN","SAN","PHX",26,25,304,NA
"144",2007,6,28,"CO","MCO","IAH",3,-12,853,NA
"145",2007,6,22,"US","CLT","SYR",3,5,603,NA
"146",2007,6,15,"WN","PHX","LAX",-2,-11,370,NA
"147",2007,6,26,"DL","DFW","ATL",6,9,732,NA
"148",2007,6,30,"XE","RDU","EWR",-8,-21,416,NA
"149",2007,6,3,"NW","ATL","DTW",35,23,594,NA
"150",2007,6,1,"US","DCA","BDL",39,71,313,NA
"151",2007,6,17,"AA","DFW","MCI",72,70,460,NA
"152",2007,6,7,"MQ","CMH","LGA",-4,16,478,NA
"153",2007,6,26,"EV","ATL","SYR",5,0,793,NA
"154",2007,6,5,"MQ","BNA","ORD",-5,16,409,NA
"155",2007,6,16,"YV","PHX","TUS",0,0,110,NA
"156",2007,6,7,"YV","IAH","CLT",20,23,913,NA
"157",2007,6,5,"YV","PHX","LGB",0,6,355,NA
"158",2007,6,20,"WN","LAX","LAS",3,-3,236,NA
"159",2007,6,1,"AA","PDX","DFW",-1,2,1616,NA
"160",2007,6,19,"OH","CVG","PHL",50,52,507,NA
"161",2007,6,5,"AA","DFW","MEM",-1,-13,432,NA
"162",2007,6,26,"MQ","DFW","LBB",NA,NA,282,NA
"163",2007,6,19,"AA","DFW","ELP",108,97,551,NA
"164",2007,6,22,"DL","ATL","ABQ",19,26,1269,NA
"165",2007,6,16,"AA","DFW","TUS",20,20,813,NA
"166",2007,6,19,"XE","ONT","SAT",7,-7,1166,NA
"167",2007,6,15,"WN","BUR","LAS",46,42,223,NA
"168",2007,6,21,"NW","ORD","DTW",-1,1,235,NA
"169",2007,6,18,"UA","ORD","BOI",NA,NA,1437,NA
"170",2007,6,14,"NW","MSP","DTW",106,105,528,NA
"171",2007,6,23,"YV","ORD","ATW",-4,-8,160,NA
"172",2007,6,25,"WN","DEN","SLC",27,20,390,NA
"173",2007,6,22,"9E","IND","RSW",27,41,946,NA
"174",2007,6,24,"AA","DFW","ORD",10,-1,802,NA
"175",2007,6,23,"NW","SAT","MEM",-3,4,625,NA
"176",2007,6,20,"CO","SEA","IAH",4,6,1874,NA
"177",2007,6,4,"OH","BNA","CVG",0,-4,230,NA
"178",2007,6,24,"OO","BUR","SLC",-7,-9,574,NA
"179",2007,6,22,"HA","HNL","ITO",-1,-9,216,NA
"180",2007,6,21,"WN","ONT","LAS",-1,0,197,NA
"181",2007,6,21,"AS","ONT","SEA",0,27,956,NA
"182",2007,6,30,"YV","PHX","ELP",38,31,347,NA
"183",2007,6,3,"OH","BWI","BOS",72,63,370,NA
"184",2007,6,18,"AA","MCI","ORD",NA,NA,403,NA
"185",2007,6,1,"AA","MIA","ORD",-1,-19,1197,NA
"186",2007,6,30,"AA","DTW","ORD",6,0,235,NA
"187",2007,6,9,"WN","MDW","LAX",53,47,1751,NA
"188",2007,6,26,"NW","DTW","ORD",-3,-8,235,NA
"189",2007,6,20,"XE","AUS","JAX",-2,-3,954,NA
"190",2007,6,18,"XE","IAH","IND",-1,21,845,NA
"191",2007,6,11,"OO","SFO","ACV",0,-1,250,NA
"192",2007,6,19,"DL","EWR","ATL",-1,-9,745,NA
"193",2007,6,21,"OO","SFO","RNO",-6,3,192,NA
"194",2007,6,14,"9E","CWA","DTW",-5,-11,363,NA
"195",2007,6,1,"MQ","GGG","DFW",-5,-3,140,NA
"196",2007,6,15,"EV","AZO","ATL",40,44,596,NA
"197",2007,6,7,"WN","ONT","SMF",2,-1,390,NA
"198",2007,6,21,"US","CLT","CHS",2,22,168,NA
"199",2007,6,13,"UA","LAX","IAD",12,110,2288,NA
"200",2007,6,1,"WN","LAS","ONT",23,21,197,NA
"201",2007,6,22,"OH","CVG","PVD",-1,-7,722,NA
"202",2007,6,14,"EV","ATL","MKE",51,51,669,NA
"203",2007,6,4,"NW","MEM","MSP",12,18,700,NA
"204",2007,6,20,"EV","ATL","OAJ",82,80,399,NA
"205",2007,6,9,"WN","BWI","STL",1,-14,737,NA
"206",2007,6,27,"WN","OAK","LAX",10,8,337,NA
"207",2007,6,14,"DL","ATL","LAS",47,49,1747,NA
"208",2007,6,4,"EV","ATL","MEM",4,1,332,NA
"209",2007,6,3,"XE","AUS","MCI",-8,-6,650,NA
"210",2007,6,23,"AA","IAD","DFW",-6,7,1172,NA
"211",2007,6,18,"MQ","ORD","DTW",NA,NA,235,NA
"212",2007,6,5,"FL","MCI","ATL",-15,-18,692,NA
"213",2007,6,21,"WN","ONT","LAS",12,13,197,NA
"214",2007,6,11,"WN","DAL","LIT",3,-3,296,NA
"215",2007,6,25,"YV","PIT","IAD",2,-12,183,NA
"216",2007,6,20,"9E","DTW","LEX",-5,-11,296,NA
"217",2007,6,13,"UA","LAX","SFO",101,95,337,NA
"218",2007,6,18,"CO","IAH","DEN",6,-7,862,NA
"219",2007,6,8,"WN","LAX","PHX",11,1,370,NA
"220",2007,6,26,"UA","SEA","ORD",293,298,1721,NA
"221",2007,6,15,"9E","MEM","GSP",0,18,441,NA
"222",2007,6,15,"AA","DFW","SAN",5,3,1171,NA
"223",2007,6,28,"DL","HNL","LAX",-4,2,2556,NA
"224",2007,6,22,"DL","BOS","LGA",-2,20,185,NA
"225",2007,6,25,"AA","DFW","ORD",-5,18,802,NA
"226",2007,6,19,"UA","IAD","SJU",-2,4,1571,NA
"227",2007,6,6,"WN","BWI","ORF",13,3,159,NA
"228",2007,6,5,"AA","DFW","MIA",47,44,1121,NA
"229",2007,6,4,"MQ","LIT","ORD",57,83,552,NA
"230",2007,6,5,"MQ","DFW","XNA",5,13,281,NA
"231",2007,6,30,"XE","EWR","CLT",45,67,529,NA
"232",2007,6,1,"US","RIC","CLT",-4,-11,256,NA
"233",2007,6,17,"WN","RDU","MDW",-4,-15,632,NA
"234",2007,6,1,"UA","ORD","DCA",-7,-9,612,NA
"235",2007,6,30,"CO","EWR","IAH",-4,-7,1400,NA
"236",2007,6,2,"WN","MCO","MDW",2,-15,989,NA
"237",2007,6,6,"NW","ATL","MSP",-2,-2,906,NA
"238",2007,6,1,"XE","HPN","CLE",34,42,425,NA
"239",2007,6,12,"AA","MCO","MIA",59,90,193,NA
"240",2007,6,4,"MQ","DFW","PIT",35,27,1068,NA
"241",2007,6,13,"AA","DFW","ORF",-1,19,1213,NA
"242",2007,6,22,"OH","ATL","MHT",0,9,952,NA
"243",2007,6,26,"YV","IAD","GSP",48,56,383,NA
"244",2007,6,16,"OO","SLC","OMA",6,-7,839,NA
"245",2007,6,7,"UA","ANC","ORD",9,13,2846,NA
"246",2007,6,25,"MQ","ORD","SWF",-7,-3,714,NA
"247",2007,6,17,"MQ","MIA","MEM",-5,-18,860,NA
"248",2007,6,28,"OO","SEA","PDX",-4,-1,129,NA
"249",2007,6,18,"NW","MSP","ORD",25,52,334,NA
"250",2007,6,11,"OO","CMH","MKE",7,10,331,NA
"251",2007,6,14,"DL","RDU","LAX",11,3,2239,NA
"252",2007,6,24,"9E","GSO","DTW",1,6,460,NA
"253",2007,6,24,"DL","ATL","DTW",-1,-15,594,NA
"254",2007,6,13,"AS","DFW","SEA",8,10,1660,NA
"255",2007,6,23,"MQ","DFW","TYR",5,4,103,NA
"256",2007,6,18,"YV","ASE","DEN",-2,14,125,NA
