"YEAR","MONTH","CARRIER","EMPTOTAL",
2008,1,"09Q",121,
2008,1,"16",1201,
2008,1,"3Z",282,
2008,1,"5X",6159,
2008,1,"5Y",1205,
2008,1,"8C",372,
2008,1,"9E",4159,
2008,1,"9S",495,
2008,1,"AA",78732,
2008,1,"ABX",10657,
2008,1,"AJQ",247,
2008,1,"AMQ",35,
2008,1,"AQ",3592,
2008,1,"AS",10425,
2008,1,"B6",11877,
2008,1,"BNQ",4,
2008,1,"CO",39735,
2008,1,"CP",384,
2008,1,"CS",1332,
2008,1,"CZQ",20,
2008,1,"DL",50653,
2008,1,"E0",385,
2008,1,"E9",94,
2008,1,"ER",954,
2008,1,"EV",4484,
2008,1,"EZ",501,
2008,1,"F2",47,
2008,1,"F9",5809,
2008,1,"FCQ",69,
2008,1,"FE",158,
2008,1,"FL",8425,
2008,1,"FX",141917,
2008,1,"G4",1363,
2008,1,"G7",375,
2008,1,"GFQ",83,
2008,1,"GL",399,
2008,1,"GR",335,
2008,1,"HA",3410,
2008,1,"JW",432,
2008,1,"KAQ",905,
2008,1,"KLQ",45,
2008,1,"L2",158,
2008,1,"M6",602,
2008,1,"MG",644,
2008,1,"MQ",10410,
2008,1,"MRQ",87,
2008,1,"NA",859,
2008,1,"NC",219,
2008,1,"NK",2339,
2008,1,"NW",30816,
2008,1,"OH",6575,
2008,1,"OO",11115,
2008,1,"OW",1943,
2008,1,"PCQ",425,
2008,1,"PFQ",41,
2008,1,"PO",455,
2008,1,"PRQ",73,
2008,1,"PT",209,
2008,1,"QX",4065,
2008,1,"RD",654,
2008,1,"RW",1348,
2008,1,"S5",1151,
2008,1,"SI",23,
2008,1,"SLQ",124,
2008,1,"SX",431,
2008,1,"SY",1085,
2008,1,"TZ",2300,
2008,1,"U5",658,
2008,1,"U7",384,
2008,1,"UA",55288,
2008,1,"US",35707,
2008,1,"VCQ",0,
2008,1,"VX",784,
2008,1,"WE",586,
2008,1,"WI",202,
2008,1,"WN",34462,
2008,1,"WO",1343,
2008,1,"X9",906,
2008,1,"XE",8102,
2008,1,"XJ",3545,
2008,1,"XP",129,
2008,1,"YV",3042,
2008,1,"YX",2422,
2008,1,"ZW",2321,
2008,2,"09Q",121,
2008,2,"16",1175,
2008,2,"3Z",286,
2008,2,"5X",6142,
2008,2,"5Y",1205,
2008,2,"8C",372,
