"","YEAR","MONTH","CARRIER","EMPTOTAL","X","yearmonth","yearmonthday"
"1",2007,"01","09Q",128,NA,"200701",2007-01-01
"2",2007,"01","16",1512,NA,"200701",2007-01-01
"3",2007,"01","3Z",289,NA,"200701",2007-01-01
"4",2007,"01","5X",6205,NA,"200701",2007-01-01
"5",2007,"01","5Y",1153,NA,"200701",2007-01-01
"6",2007,"01","8C",453,NA,"200701",2007-01-01
"7",2007,"01","9E",3912,NA,"200701",2007-01-01
"8",2007,"01","9S",305,NA,"200701",2007-01-01
"9",2007,"01","AA",77866,NA,"200701",2007-01-01
"10",2007,"01","ABX",11277,NA,"200701",2007-01-01
"11",2007,"01","AJQ",264,NA,"200701",2007-01-01
"12",2007,"01","AMQ",43,NA,"200701",2007-01-01
"13",2007,"01","AQ",3540,NA,"200701",2007-01-01
"14",2007,"01","AS",9882,NA,"200701",2007-01-01
"15",2007,"01","AX",1301,NA,"200701",2007-01-01
"16",2007,"01","B6",10698,NA,"200701",2007-01-01
"17",2007,"01","BNQ",4,NA,"200701",2007-01-01
"18",2007,"01","CO",38341,NA,"200701",2007-01-01
"19",2007,"01","CS",1334,NA,"200701",2007-01-01
"20",2007,"01","CTQ",12,NA,"200701",2007-01-01
"21",2007,"01","CZQ",15,NA,"200701",2007-01-01
"22",2007,"01","DL",46732,NA,"200701",2007-01-01
"23",2007,"01","E0",239,NA,"200701",2007-01-01
"24",2007,"01","E9",154,NA,"200701",2007-01-01
"25",2007,"01","ER",998,NA,"200701",2007-01-01
"26",2007,"01","EV",5911,NA,"200701",2007-01-01
"27",2007,"01","EZ",528,NA,"200701",2007-01-01
"28",2007,"01","F2",183,NA,"200701",2007-01-01
"29",2007,"01","F9",5012,NA,"200701",2007-01-01
"30",2007,"01","FE",90,NA,"200701",2007-01-01
"31",2007,"01","FL",7671,NA,"200701",2007-01-01
"32",2007,"01","FX",136782,NA,"200701",2007-01-01
"33",2007,"01","G4",1008,NA,"200701",2007-01-01
"34",2007,"01","G7",322,NA,"200701",2007-01-01
"35",2007,"01","GFQ",63,NA,"200701",2007-01-01
"36",2007,"01","GG",110,NA,"200701",2007-01-01
"37",2007,"01","GL",418,NA,"200701",2007-01-01
"38",2007,"01","GR",400,NA,"200701",2007-01-01
"39",2007,"01","HA",3585,NA,"200701",2007-01-01
"40",2007,"01","HP",13958,NA,"200701",2007-01-01
"41",2007,"01","JW",558,NA,"200701",2007-01-01
"42",2007,"01","KAQ",820,NA,"200701",2007-01-01
"43",2007,"01","KLQ",41,NA,"200701",2007-01-01
"44",2007,"01","KR",186,NA,"200701",2007-01-01
"45",2007,"01","L2",155,NA,"200701",2007-01-01
"46",2007,"01","M6",626,NA,"200701",2007-01-01
"47",2007,"01","MG",713,NA,"200701",2007-01-01
"48",2007,"01","MQ",9984,NA,"200701",2007-01-01
"49",2007,"01","MRQ",98,NA,"200701",2007-01-01
"50",2007,"01","MY",330,NA,"200701",2007-01-01
