"","YEAR","MONTH","DAY_OF_MONTH","CARRIER","ORIGIN","DEP_DELAY","ARR_DELAY","DISTANCE","X"
"1",2008,1,10,"EV","PWM",4,9,1027,NA
"2",2008,1,22,"WN","TUS",-5,-3,451,NA
"3",2008,1,25,"WN","SAN",7,5,480,NA
"4",2008,1,5,"US","TPA",-1,-20,1788,NA
"5",2008,1,4,"OH","HSV",-8,2,823,NA
"6",2008,1,27,"OH","BNA",-10,-21,230,NA
"7",2008,1,31,"DL","ATL",32,36,581,NA
"8",2008,1,22,"YV","CLT",0,-1,83,NA
"9",2008,1,15,"OO","ORD",49,36,286,NA
"10",2008,1,16,"UA","LAX",-1,-11,2475,NA
"11",2008,1,30,"HA","OGG",-12,-10,100,NA
"12",2008,1,4,"OO","LAX",NA,NA,86,NA
"13",2008,1,10,"AA","DFW",1,-19,3784,NA
"14",2008,1,14,"EV","CAE",0,19,404,NA
"15",2008,1,14,"WN","AUS",-6,-9,148,NA
"16",2008,1,4,"WN","SMF",47,42,390,NA
"17",2008,1,30,"OO","DEN",-3,0,826,NA
"18",2008,1,19,"WN","BWI",1,-11,377,NA
"19",2008,1,25,"XE","EWR",3,-14,1215,NA
"20",2008,1,6,"AA","BWI",10,-16,1217,NA
"21",2008,1,22,"MQ","DCA",28,16,399,NA
"22",2008,1,15,"US","MCO",-7,13,861,NA
"23",2008,1,28,"OO","MEM",187,173,491,NA
"24",2008,1,11,"OO","SLC",-4,-1,541,NA
"25",2008,1,21,"B6","SMF",-5,0,387,NA
"26",2008,1,18,"OO","LAX",29,30,110,NA
"27",2008,1,1,"AA","SAT",72,64,247,NA
"28",2008,1,3,"B6","OAK",-6,-6,2576,NA
"29",2008,1,29,"B6","FLL",-7,-9,1098,NA
"30",2008,1,16,"AA","DFW",-4,-18,1213,NA
"31",2008,1,15,"WN","PHX",-1,-6,1009,NA
"32",2008,1,1,"WN","SMF",1,10,358,NA
"33",2008,1,29,"US","MHT",-6,-34,737,NA
"34",2008,1,11,"DL","DCA",-2,33,214,NA
"35",2008,1,12,"DL","SLC",-6,0,291,NA
"36",2008,1,21,"9E","DTW",20,11,583,NA
"37",2008,1,19,"OO","SBA",-4,-7,89,NA
"38",2008,1,23,"9E","DTW",10,25,155,NA
"39",2008,1,6,"AA","JFK",104,91,2586,NA
"40",2008,1,31,"AA","SNA",12,5,1205,NA
"41",2008,1,15,"MQ","ORD",0,-15,552,NA
"42",2008,1,3,"UA","DEN",32,27,1754,NA
"43",2008,1,22,"EV","ATL",1,8,852,NA
"44",2008,1,11,"9E","DTW",-3,-13,155,NA
"45",2008,1,12,"AA","DFW",0,-6,802,NA
"46",2008,1,31,"MQ","AEX",350,369,285,NA
"47",2008,1,28,"MQ","MKE",0,0,853,NA
"48",2008,1,10,"WN","DAL",5,3,324,NA
"49",2008,1,15,"NW","MSP",-8,-18,528,NA
"50",2008,1,18,"B6","IAD",1,8,228,NA
"51",2008,1,15,"AS","ANC",14,6,261,NA
"52",2008,1,12,"OO","SLC",-7,-15,338,NA
"53",2008,1,1,"EV","BTR",-4,-6,693,NA
"54",2008,1,17,"9E","DTW",-2,1,477,NA
"55",2008,1,21,"WN","LAS",27,29,258,NA
"56",2008,1,16,"WN","LAX",0,-10,1751,NA
"57",2008,1,22,"AA","OAK",-1,-6,1456,NA
"58",2008,1,20,"YV","HNL",-5,1,216,NA
"59",2008,1,13,"XE","JAN",-8,-13,351,NA
"60",2008,1,1,"WN","SMF",1,7,397,NA
"61",2008,1,8,"XE","IAH",44,48,519,NA
"62",2008,1,10,"XE","TUS",4,39,409,NA
"63",2008,1,15,"WN","MCO",-2,-8,802,NA
"64",2008,1,9,"WN","OAK",-2,-12,362,NA
"65",2008,1,27,"AA","LGA",14,-8,1389,NA
"66",2008,1,16,"XE","XNA",-10,-10,438,NA
"67",2008,1,27,"DL","PBI",36,53,1197,NA
"68",2008,1,19,"FL","ATL",133,126,533,NA
"69",2008,1,8,"WN","LAS",-6,-4,1076,NA
"70",2008,1,22,"XE","PWM",148,130,284,NA
"71",2008,1,3,"9E","MEM",-4,-6,184,NA
"72",2008,1,11,"YV","LAS",0,-8,699,NA
"73",2008,1,18,"XE","MTJ",-1,14,926,NA
"74",2008,1,8,"YV","HNL",7,11,100,NA
"75",2008,1,6,"OO","LAX",17,34,292,NA
"76",2008,1,24,"WN","SLC",15,22,1156,NA
"77",2008,1,22,"WN","ONT",3,2,362,NA
"78",2008,1,4,"OO","SLC",0,-2,338,NA
"79",2008,1,25,"CO","LAS",-8,-14,1222,NA
"80",2008,1,20,"OO","LAX",-5,-25,833,NA
"81",2008,1,3,"DL","RIC",-1,-23,481,NA
"82",2008,1,7,"YV","ATL",10,19,533,NA
"83",2008,1,3,"YV","ATL",0,17,227,NA
"84",2008,1,28,"WN","ONT",0,-4,390,NA
"85",2008,1,12,"WN","MDW",-3,-21,1440,NA
"86",2008,1,1,"US","PHX",0,-6,1276,NA
"87",2008,1,29,"WN","SMF",-2,-11,479,NA
"88",2008,1,9,"EV","ATL",-2,-12,528,NA
"89",2008,1,24,"XE","MSY",32,66,305,NA
"90",2008,1,6,"WN","ISP",10,-11,1034,NA
"91",2008,1,20,"OO","LAX",-4,-18,370,NA
"92",2008,1,13,"F9","SEA",4,0,1024,NA
"93",2008,1,5,"CO","EWR",25,-1,1372,NA
"94",2008,1,30,"AA","DFW",-4,-23,984,NA
"95",2008,1,22,"OO","MKE",-1,22,669,NA
"96",2008,1,26,"EV","MGM",0,-2,147,NA
"97",2008,1,8,"EV","AGS",-7,-19,143,NA
"98",2008,1,30,"WN","PVD",-1,-5,1137,NA
"99",2008,1,5,"F9","MEM",-8,-10,683,NA
"100",2008,1,25,"WN","DEN",6,3,390,NA
"101",2008,1,14,"XE","BOS",112,119,563,NA
"102",2008,1,14,"WN","BUR",0,-7,325,NA
"103",2008,1,3,"OO","ORD",2,-1,179,NA
"104",2008,1,17,"WN","FLL",-5,0,197,NA
"105",2008,1,2,"MQ","FNT",84,87,223,NA
"106",2008,1,10,"CO","SJC",-1,-5,1609,NA
