"","YEAR","MONTH","DAY_OF_MONTH","CARRIER","ORIGIN","DEST","DEP_DELAY","ARR_DELAY","DISTANCE","X"
"1",2008,2,7,"MQ","DFW","SHV",-1,-7,190,NA
"2",2008,2,1,"US","BUF","CLT",81,70,546,NA
"3",2008,2,6,"AA","ORD","BOS",43,69,867,NA
"4",2008,2,28,"CO","IAH","PBI",-1,2,956,NA
"5",2008,2,24,"F9","MCI","DEN",1,-1,533,NA
"6",2008,2,26,"F9","LAS","DEN",-1,-5,629,NA
"7",2008,2,6,"NW","PHL","MSP",-12,-33,980,NA
"8",2008,2,21,"FL","MCO","ATL",2,32,403,NA
"9",2008,2,8,"AA","PHX","DFW",89,86,868,NA
"10",2008,2,4,"NW","DTW","CLT",-6,33,500,NA
"11",2008,2,4,"CO","PBI","IAH",-2,-14,956,NA
"12",2008,2,6,"OH","CVG","DFW",25,50,812,NA
"13",2008,2,29,"AA","LAX","FLL",3,7,2342,NA
"14",2008,2,11,"YV","CLT","EWR",0,9,529,NA
"15",2008,2,14,"AA","MCO","LAX",30,41,2217,NA
"16",2008,2,8,"9E","DTW","ROC",31,12,296,NA
"17",2008,2,19,"9E","MEM","GPT",-3,-3,324,NA
"18",2008,2,12,"AA","COS","DFW",-3,-10,592,NA
"19",2008,2,19,"YV","PHX","FAT",0,-16,493,NA
"20",2008,2,25,"XE","CLT","IAH",0,-3,913,NA
"21",2008,2,8,"US","GEG","PHX",-9,-27,1020,NA
"22",2008,2,7,"US","PHL","RDU",-10,-17,336,NA
"23",2008,2,18,"WN","SMF","MDW",0,2,1790,NA
"24",2008,2,8,"UA","DEN","IAD",3,-11,1452,NA
"25",2008,2,9,"NW","MEM","LAX",20,15,1619,NA
"26",2008,2,10,"AA","HNL","LAX",-3,-11,2556,NA
"27",2008,2,1,"UA","SAN","DEN",0,10,853,NA
"28",2008,2,18,"OH","CVG","CLT",-4,-13,335,NA
"29",2008,2,24,"MQ","BOS","LGA",-3,-10,185,NA
"30",2008,2,21,"NW","DTW","FNT",8,10,56,NA
"31",2008,2,15,"WN","SNA","SMF",3,3,404,NA
"32",2008,2,29,"OH","LGA","JAX",0,-3,834,NA
"33",2008,2,3,"XE","BTV","EWR",9,-11,266,NA
"34",2008,2,2,"OO","SPI","ORD",-6,-4,174,NA
