"","YEAR","MONTH","DAY_OF_MONTH","ORIGIN","DEST","DEP_DELAY","ARR_DELAY","DISTANCE","X"
"1",2009,6,11,"DFW","GJT",110,144,772,NA
"2",2009,6,1,"EWR","ALB",7,-10,143,NA
"3",2009,6,10,"LAX","IAH",-1,-12,1379,NA
"4",2009,6,12,"DFW","JAN",22,11,408,NA
"5",2009,6,13,"JAC","DFW",-5,-10,1046,NA
"6",2009,6,14,"MCO","SJU",5,-8,1189,NA
"7",2009,6,20,"ORD","FSD",-4,0,462,NA
"8",2009,6,3,"PDX","SNA",-12,-2,859,NA
"9",2009,6,4,"RSW","BOS",-1,-11,1249,NA
"10",2009,6,28,"FLL","TPA",-2,-7,197,NA
"11",2009,6,17,"TUS","ORD",0,2,1437,NA
"12",2009,6,20,"CLE","MSP",-3,-3,622,NA
"13",2009,6,29,"CLT","CHS",4,0,168,NA
"14",2009,6,19,"IAH","BTR",15,14,253,NA
"15",2009,6,29,"EWR","PDX",12,-4,2433,NA
"16",2009,6,7,"PHX","DEN",6,11,602,NA
"17",2009,6,4,"LGA","CLE",21,10,418,NA
"18",2009,6,3,"DSM","DEN",-4,1,590,NA
"19",2009,6,30,"BOS","LGA",-3,-20,185,NA
"20",2009,6,12,"TPA","BDL",-8,-15,1111,NA
"21",2009,6,7,"TUL","ORD",-6,-11,585,NA
"22",2009,6,22,"EWR","SDF",20,13,642,NA
"23",2009,6,12,"TVC","ORD",-7,-15,224,NA
"24",2009,6,22,"BQN","MCO",-10,-17,1130,NA
"25",2009,6,9,"IAH","ABQ",-1,-17,744,NA
"26",2009,6,13,"HNL","KOA",-3,0,163,NA
"27",2009,6,10,"BOS","DTW",-3,-6,632,NA
"28",2009,6,25,"SAN","LAX",-5,-13,109,NA
"29",2009,6,28,"GPT","ATL",-5,12,352,NA
"30",2009,6,10,"BOS","ORD",-5,-20,867,NA
"31",2009,6,11,"IND","TPA",-6,-4,838,NA
"32",2009,6,19,"DFW","SFO",36,27,1464,NA
"33",2009,6,20,"ORD","LAS",-2,6,1515,NA
"34",2009,6,2,"LAS","SEA",-5,-23,866,NA
"35",2009,6,6,"DFW","JFK",-1,-2,1391,NA
"36",2009,6,13,"CLT","RIC",-10,-13,256,NA
"37",2009,6,28,"MSP","SMF",-2,-13,1518,NA
"38",2009,6,14,"LAX","MRY",-1,-8,267,NA
"39",2009,6,6,"LBB","DFW",0,-9,282,NA
"40",2009,6,18,"MKE","EWR",224,204,725,NA
"41",2009,6,5,"EWR","CLT",35,21,529,NA
"42",2009,6,16,"EWR","DEN",0,3,1605,NA
"43",2009,6,12,"PDX","SLC",-5,6,630,NA
"44",2009,6,23,"HNL","KOA",-10,-7,163,NA
"45",2009,6,20,"DFW","FLL",11,6,1119,NA
"46",2009,6,9,"MRY","SFO",42,39,77,NA
"47",2009,6,28,"MDW","CMH",0,-9,284,NA
"48",2009,6,23,"DEN","LAX",-2,21,862,NA
"49",2009,6,4,"DCA","EWR",-7,-1,199,NA
"50",2009,6,9,"GEG","MSP",-11,-15,1175,NA
"51",2009,6,16,"MEM","GSO",0,-11,570,NA
"52",2009,6,14,"MCO","CLE",-1,-14,895,NA
"53",2009,6,11,"ATL","DHN",76,75,171,NA
"54",2009,6,19,"OAK","LAS",9,9,407,NA
"55",2009,6,3,"DTW","ORD",5,-1,235,NA
"56",2009,6,12,"MCI","PHX",0,10,1044,NA
"57",2009,6,1,"PHL","IAH",-6,-12,1324,NA
"58",2009,6,28,"ATL","VPS",83,99,250,NA
"59",2009,6,18,"CHS","ATL",18,26,259,NA
"60",2009,6,3,"DEN","TPA",-1,-1,1506,NA
"61",2009,6,17,"DTW","STL",3,-13,440,NA
"62",2009,6,5,"MCO","ATL",-5,-11,403,NA
"63",2009,6,5,"IND","DCA",3,7,499,NA
"64",2009,6,29,"STL","MCI",-6,-6,237,NA
"65",2009,6,30,"DEN","GEG",24,13,835,NA
"66",2009,6,18,"BOS","SFO",-4,-32,2704,NA
"67",2009,6,1,"SNA","DEN",16,11,846,NA
"68",2009,6,5,"IND","ORD",-10,-11,177,NA
"69",2009,6,12,"JNU","SEA",31,29,909,NA
"70",2009,6,27,"PVD","ORD",110,97,849,NA
"71",2009,6,29,"MSP","DEN",3,-5,680,NA
"72",2009,6,16,"SLC","SJC",-4,-10,585,NA
"73",2009,6,6,"TPA","JFK",-2,-17,1005,NA
"74",2009,6,9,"SFO","CIC",-9,-15,153,NA
"75",2009,6,18,"DFW","JAN",-6,-1,408,NA
"76",2009,6,23,"IAH","VPS",37,33,528,NA
"77",2009,6,26,"RDU","BNA",47,42,443,NA
"78",2009,6,2,"DEN","MEM",49,59,872,NA
"79",2009,6,28,"DFW","RDU",-1,-8,1062,NA
"80",2009,6,6,"ATL","PHX",3,16,1587,NA
"81",2009,6,17,"CLT","SAV",100,82,213,NA
"82",2009,6,10,"LAX","PDX",-4,-9,834,NA
"83",2009,6,16,"PBI","ATL",7,22,545,NA
"84",2009,6,12,"SAT","ATL",-5,1,874,NA
"85",2009,6,18,"HOU","BWI",17,18,1246,NA
"86",2009,6,9,"IAH","OMA",14,11,781,NA
"87",2009,6,4,"VLD","ATL",-5,-12,208,NA
"88",2009,6,2,"ORD","LGA",-9,-26,733,NA
"89",2009,6,3,"ORD","CID",-2,-4,196,NA
"90",2009,6,18,"AUS","DAL",-2,-1,189,NA
"91",2009,6,29,"JFK","SLC",-1,10,1989,NA
"92",2009,6,21,"DEN","SEA",0,5,1024,NA
"93",2009,6,8,"ATL","ORD",-5,-9,606,NA
"94",2009,6,18,"MDW","MCI",31,55,405,NA
"95",2009,6,21,"ICT","ORD",-7,4,588,NA
"96",2009,6,15,"CMH","ORD",-6,-6,296,NA
"97",2009,6,2,"IAH","LFT",-5,2,201,NA
"98",2009,6,18,"GJT","DFW",-1,7,772,NA
"99",2009,6,7,"XNA","ORD",-7,-23,522,NA
"100",2009,6,26,"MWH","SEA",15,21,141,NA
"101",2009,6,2,"ATL","LAS",-1,-26,1747,NA
"102",2009,6,8,"GSO","ATL",10,10,306,NA
"103",2009,6,12,"DFW","CID",55,43,685,NA
"104",2009,6,28,"PSP","DFW",-8,-6,1126,NA
"105",2009,6,28,"JFK","MKE",0,-26,746,NA
"106",2009,6,24,"DEN","CLT",-6,38,1338,NA
"107",2009,6,17,"MSP","BMI",-4,-2,374,NA
"108",2009,6,7,"ICT","ATL",1,-12,781,NA
"109",2009,6,25,"SMF","PHX",7,5,647,NA
"110",2009,6,5,"IAD","HSV",20,18,595,NA
"111",2009,6,25,"LAX","ORD",-2,-3,1745,NA
"112",2009,6,9,"IND","CVG",0,-3,98,NA
"113",2009,6,10,"ROC","ORD",-3,-11,528,NA
"114",2009,6,22,"LAX","SLC",7,10,590,NA
"115",2009,6,30,"PIT","LAX",7,6,2136,NA
"116",2009,6,1,"STL","MKE",-7,-24,317,NA
"117",2009,6,29,"DCA","DFW",0,2,1192,NA
"118",2009,6,18,"BNA","RDU",1,-5,443,NA
"119",2009,6,30,"STL","RSW",-2,-17,979,NA
"120",2009,6,14,"SEA","EWR",-3,-16,2401,NA
"121",2009,6,30,"RDU","LGA",-3,4,431,NA
"122",2009,6,22,"DEN","MCO",-1,-4,1546,NA
"123",2009,6,14,"PHX","SJC",-1,-26,622,NA
"124",2009,6,8,"DFW","SNA",19,28,1205,NA
"125",2009,6,25,"EWR","PHX",26,8,2133,NA
"126",2009,6,4,"PNS","DFW",-3,3,604,NA
"127",2009,6,20,"SEA","DEN",13,15,1024,NA
"128",2009,6,24,"ANC","ORD",-4,6,2846,NA
"129",2009,6,4,"ORD","PDX",-3,-11,1739,NA
"130",2009,6,13,"ABQ","LAX",-4,-3,677,NA
"131",2009,6,30,"ORD","MCO",-2,40,1005,NA
"132",2009,6,14,"SFO","LAX",12,22,337,NA
"133",2009,6,23,"TPA","DTW",-6,7,983,NA
"134",2009,6,30,"ICT","ORD",-9,-17,588,NA
"135",2009,6,7,"ATL","LAX",-3,6,1946,NA
"136",2009,6,18,"RDU","LGA",56,86,431,NA
"137",2009,6,29,"LGA","ORD",-7,-14,733,NA
"138",2009,6,27,"JFK","LAX",-5,-26,2475,NA
"139",2009,6,22,"HOU","MSY",8,2,303,NA
"140",2009,6,15,"AVP","ORD",-1,14,631,NA
"141",2009,6,23,"SAT","TPA",-3,-16,972,NA
"142",2009,6,28,"BWI","BOS",0,-1,370,NA
"143",2009,6,25,"PHL","ORD",14,0,678,NA
"144",2009,6,6,"ATL","LNK",-10,-28,841,NA
"145",2009,6,11,"PHL","BOS",NA,NA,280,NA
"146",2009,6,10,"HOU","MCO",17,6,848,NA
"147",2009,6,14,"IAH","SNA",-1,2,1347,NA
"148",2009,6,1,"ATL","DFW",-1,-11,732,NA
"149",2009,6,4,"DAL","AUS",24,21,189,NA
"150",2009,6,30,"IAH","HRL",3,3,295,NA
"151",2009,6,23,"RNO","DEN",-8,-31,804,NA
"152",2009,6,5,"LIH","HNL",97,99,102,NA
"153",2009,6,4,"DFW","HOU",5,-8,247,NA
"154",2009,6,23,"MSP","TUL",-1,1,616,NA
