"","DATE","VALUE"
"1",1990-01-01,3.7
"2",1990-02-01,3.4
"3",1990-03-01,3.2
"4",1990-04-01,3.5
"5",1990-05-01,3.5
"6",1990-06-01,3.6
"7",1990-07-01,4.5
"8",1990-08-01,4.3
"9",1990-09-01,4.1
"10",1990-10-01,3.9
"11",1990-11-01,3.9
"12",1990-12-01,3.7
"13",1991-01-01,4.9
"14",1991-02-01,5.1
"15",1991-03-01,4.9
"16",1991-04-01,4.8
"17",1991-05-01,5.1
"18",1991-06-01,5.5
"19",1991-07-01,5.9
"20",1991-08-01,5.9
"21",1991-09-01,5.8
"22",1991-10-01,5.5
"23",1991-11-01,5.3
"24",1991-12-01,5
"25",1992-01-01,6.4
"26",1992-02-01,6.3
"27",1992-03-01,6.4
"28",1992-04-01,6.4
"29",1992-05-01,6.7
"30",1992-06-01,7.2
"31",1992-07-01,7.5
"32",1992-08-01,7.5
"33",1992-09-01,7.4
"34",1992-10-01,6.6
"35",1992-11-01,6.8
"36",1992-12-01,6.3
"37",1993-01-01,7
"38",1993-02-01,7
"39",1993-03-01,7
"40",1993-04-01,7
"41",1993-05-01,6.9
"42",1993-06-01,7.5
"43",1993-07-01,7.7
"44",1993-08-01,7.5
"45",1993-09-01,7.2
"46",1993-10-01,7
"47",1993-11-01,6.7
"48",1993-12-01,6.1
"49",1994-01-01,7.2
"50",1994-02-01,6.8
"51",1994-03-01,6.6
"52",1994-04-01,6.5
"53",1994-05-01,6.1
"54",1994-06-01,6.6
"55",1994-07-01,7
"56",1994-08-01,6.9
"57",1994-09-01,6.5
"58",1994-10-01,6.1
"59",1994-11-01,5.5
"60",1994-12-01,5
"61",1995-01-01,5.9
"62",1995-02-01,5.8
"63",1995-03-01,5.8
"64",1995-04-01,6.2
"65",1995-05-01,6
"66",1995-06-01,6.5
"67",1995-07-01,7
"68",1995-08-01,6.6
"69",1995-09-01,6.4
"70",1995-10-01,5.8
"71",1995-11-01,5.4
"72",1995-12-01,4.9
"73",1996-01-01,5.8
"74",1996-02-01,5.1
"75",1996-03-01,4.9
"76",1996-04-01,4.9
"77",1996-05-01,4.9
"78",1996-06-01,5
"79",1996-07-01,5.6
"80",1996-08-01,4.9
"81",1996-09-01,4.6
"82",1996-10-01,4.2
"83",1996-11-01,4
"84",1996-12-01,3.6
"85",1997-01-01,4.3
"86",1997-02-01,3.9
"87",1997-03-01,4
"88",1997-04-01,3.8
"89",1997-05-01,3.9
"90",1997-06-01,4.4
"91",1997-07-01,4.7
"92",1997-08-01,4.6
"93",1997-09-01,4.5
"94",1997-10-01,4
"95",1997-11-01,3.7
"96",1997-12-01,3.4
"97",1998-01-01,3.9
"98",1998-02-01,3.6
"99",1998-03-01,3.9
"100",1998-04-01,3.4
"101",1998-05-01,3.4
"102",1998-06-01,4
"103",1998-07-01,4.2
"104",1998-08-01,4.1
"105",1998-09-01,3.9
"106",1998-10-01,3.6
"107",1998-11-01,3.2
"108",1998-12-01,2.9
"109",1999-01-01,3.5
"110",1999-02-01,3.2
"111",1999-03-01,3.1
"112",1999-04-01,3
"113",1999-05-01,2.8
"114",1999-06-01,3.3
"115",1999-07-01,3.5
"116",1999-08-01,3.3
"117",1999-09-01,3.1
"118",1999-10-01,2.9
"119",1999-11-01,2.7
"120",1999-12-01,2.4
"121",2000-01-01,3.6
"122",2000-02-01,3.4
"123",2000-03-01,3.5
"124",2000-04-01,3.2
"125",2000-05-01,3.2
"126",2000-06-01,3.7
"127",2000-07-01,3.7
"128",2000-08-01,3.7
"129",2000-09-01,3.4
"130",2000-10-01,3.3
"131",2000-11-01,3.3
"132",2000-12-01,3
"133",2001-01-01,3.9
"134",2001-02-01,3.9
"135",2001-03-01,4.2
"136",2001-04-01,4.2
"137",2001-05-01,4.3
"138",2001-06-01,5.1
"139",2001-07-01,5.4
"140",2001-08-01,5.8
"141",2001-09-01,5.6
"142",2001-10-01,6.3
"143",2001-11-01,6.4
"144",2001-12-01,6.1
"145",2002-01-01,7.2
"146",2002-02-01,6.9
"147",2002-03-01,7
"148",2002-04-01,6.8
"149",2002-05-01,6.4
"150",2002-06-01,7.1
"151",2002-07-01,7.1
"152",2002-08-01,7.1
"153",2002-09-01,6.9
"154",2002-10-01,6.8
"155",2002-11-01,6.8
"156",2002-12-01,6.5
"157",2003-01-01,7.2
"158",2003-02-01,6.9
"159",2003-03-01,7
"160",2003-04-01,6.7
"161",2003-05-01,6.5
"162",2003-06-01,7.4
"163",2003-07-01,7
"164",2003-08-01,6.8
"165",2003-09-01,6.4
"166",2003-10-01,6.3
"167",2003-11-01,6.2
"168",2003-12-01,5.6
"169",2004-01-01,6.4
"170",2004-02-01,6
"171",2004-03-01,6.4
"172",2004-04-01,5.9
"173",2004-05-01,5.4
"174",2004-06-01,5.9
"175",2004-07-01,6
"176",2004-08-01,5.7
"177",2004-09-01,5.3
"178",2004-10-01,5.4
"179",2004-11-01,5.7
"180",2004-12-01,5
"181",2005-01-01,5.5
"182",2005-02-01,5.4
"183",2005-03-01,5.4
