"","X","DATE","VALUE"
"1",1,2007-01-01,4.6
"2",2,2007-02-01,4.5
"3",3,2007-03-01,4.4
"4",4,2007-04-01,4.5
"5",5,2007-05-01,4.4
"6",6,2007-06-01,4.6
"7",7,2007-07-01,4.7
"8",8,2007-08-01,4.6
"9",9,2007-09-01,4.7
"10",10,2007-10-01,4.7
"11",11,2007-11-01,4.7
"12",12,2007-12-01,5
"13",13,2008-01-01,5
"14",14,2008-02-01,4.9
"15",15,2008-03-01,5.1
"16",16,2008-04-01,5
"17",17,2008-05-01,5.4
"18",18,2008-06-01,5.6
"19",19,2008-07-01,5.8
"20",20,2008-08-01,6.1
"21",21,2008-09-01,6.1
"22",22,2008-10-01,6.5
"23",23,2008-11-01,6.8
"24",24,2008-12-01,7.3
"25",25,2009-01-01,7.8
"26",26,2009-02-01,8.3
"27",27,2009-03-01,8.7
"28",28,2009-04-01,9
"29",29,2009-05-01,9.4
"30",30,2009-06-01,9.5
"31",31,2009-07-01,9.5
"32",32,2009-08-01,9.6
"33",33,2009-09-01,9.8
"34",34,2009-10-01,10
"35",35,2009-11-01,9.9
"36",36,2009-12-01,9.9
